District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,12,All Grades,Total Students
Sherborn,2690000,56,69,63,50,76,64,,,,,,,,378,378
Shrewsbury,2710000,295,402,421,432,486,471,448,507,472,280,214,159,233,"4,820","5,907"
Shutesbury,2720000,11,19,12,10,18,13,23,,,,,,,106,106
Silver Lake,7600000,,,,,,,,257,252,114,119,71,97,910,"1,593"
Sizer School: A North Central Charter Essential (District),4740000,,,,,,,,61,58,40,27,27,26,239,370
Somerset,2730000,133,148,166,169,196,161,182,225,208,,,,,"1,588","1,590"
Somerset Berkley Regional School District,7630000,,,,,,,,,,133,182,143,177,635,"1,000"
Somerville,2740000,375,387,361,322,325,354,335,302,321,174,139,138,136,"3,669","4,392"
South Hadley,2780000,0,109,146,128,148,128,129,127,148,99,59,25,32,"1,278","1,712"
South Middlesex Regional Vocational Technical,8290000,,,,,,,,,,15,51,96,52,214,815
South Shore Charter Public (District),4880000,46,78,73,79,79,79,82,84,82,0,0,0,2,684,"1,012"
South Shore Regional Vocational Technical,8730000,,,,,,,,,,164,13,8,9,194,637
Southampton,2750000,64,58,64,53,74,56,53,,,,,,,422,427
Southborough,2760000,107,146,118,135,119,124,130,82,59,,,,,"1,020","1,136"
Southbridge,2770000,153,153,134,165,151,127,93,94,94,141,105,78,74,"1,562","1,824"
Southeastern Regional Vocational Technical,8720000,,,,,,,,,,42,49,44,34,169,"1,527"
Southern Berkshire,7650000,83,47,45,35,51,45,39,23,57,23,30,22,37,537,630
Southern Worcester County Regional Vocational Technical,8760000,,,,,,,,,,20,20,18,18,76,"1,168"
Southwick-Tolland-Granville Regional School District,7660000,83,86,98,87,101,108,125,122,124,56,77,60,51,"1,178","1,366"
Spencer-E Brookfield,7670000,85,112,96,118,127,91,100,18,13,11,32,35,42,880,"1,292"
Springfield,2810000,6,"1,859","1,858","1,776","1,807","1,688",628,625,629,967,994,"1,031","1,052","14,920","22,402"
Springfield Preparatory Charter School (District),35100000,54,54,52,54,53,54,0,,,,,,,321,374
Stoneham,2840000,135,172,176,170,182,172,151,183,148,137,105,80,125,"1,936","2,211"
Stoughton,2850000,237,258,234,235,241,268,255,272,297,256,189,184,209,"3,135","3,353"
Sturbridge,2870000,0,106,90,111,121,113,111,,,,,,,652,765
Sturgis Charter Public (District),4890000,,,,,,,,,,215,227,89,76,607,853
Sudbury,2880000,202,285,257,264,275,293,261,270,303,,,,,"2,410","2,491"
Sunderland,2890000,17,25,28,25,29,36,15,,,,,,,175,175
Sutton,2900000,79,85,104,90,74,105,14,101,21,69,37,35,41,855,"1,226"
Swampscott,2910000,136,155,146,143,142,152,151,170,183,92,75,114,148,"1,807","2,077"
Swansea,2920000,135,142,139,161,161,144,174,172,11,114,54,67,124,"1,598","1,971"
TEC Connections Academy Commonwealth Virtual School District,39020000,47,65,77,70,105,109,171,233,247,50,71,99,100,"1,444","2,661"
Tantasqua,7700000,,,,,,,,288,281,132,155,156,177,"1,189","1,775"
Taunton,2930000,512,557,577,597,603,615,655,659,323,244,210,225,160,"5,937","7,631"
Tewksbury,2950000,0,243,243,234,272,235,246,262,251,176,144,128,181,"2,615","3,072"
Tisbury,2960000,34,28,23,35,28,31,22,38,33,,,,,272,276
Topsfield,2980000,61,76,75,84,86,81,88,,,,,,,551,551
Tri-County Regional Vocational Technical,8780000,,,,,,,,,,10,14,178,125,327,946
Triton,7730000,130,159,154,157,161,168,164,171,193,65,91,42,56,"1,711","2,105"
Truro,3000000,13,14,15,16,15,19,,,,,,,,92,92
Tyngsborough,3010000,0,112,122,116,149,114,118,3,0,71,73,63,93,"1,034","1,561"
UP Academy Charter School of Boston (District),4800000,,,,,,,107,126,131,,,,,364,364
UP Academy Charter School of Dorchester (District),35050000,72,72,72,78,77,78,73,69,67,,,,,658,658
Up-Island Regional,7740000,11,8,12,13,21,23,41,52,39,,,,,220,407
Upper Cape Cod Regional Vocational Technical,8790000,,,,,,,,,,0,0,0,0,0,708
Uxbridge,3040000,107,109,109,126,106,121,141,118,58,101,81,58,86,"1,321","1,592"
Veritas Preparatory Charter School (District),4980000,,,,,,0,0,0,0,,,,,0,405
Wachusett,7750000,425,434,477,440,525,536,549,552,585,413,289,171,176,"5,572","6,531"
Wakefield,3050000,269,249,245,260,268,260,270,257,264,122,113,84,170,"2,831","3,250"
Wales,3060000,0,20,12,13,14,24,16,,,,,,,99,115
Walpole,3070000,316,287,277,284,271,271,249,273,252,129,165,134,163,"3,071","3,612"
Waltham,3080000,433,418,440,424,436,424,384,396,395,171,184,171,181,"4,457","5,398"
Ware,3090000,69,85,82,73,78,96,93,94,112,31,29,43,42,927,"1,109"
Wareham,3100000,166,187,145,176,138,160,181,9,126,109,83,66,59,"1,605","1,976"
Watertown,3140000,188,199,205,205,198,170,173,182,205,117,96,67,100,"2,105","2,448"
Wayland,3150000,206,203,184,235,216,192,187,191,226,148,91,87,73,"2,239","2,718"
Webster,3160000,99,146,137,129,147,148,148,132,146,65,69,65,69,"1,500","1,630"
Wellesley,3170000,218,278,314,339,333,327,312,347,324,301,249,206,190,"3,738","4,351"
Wellfleet,3180000,15,13,22,14,18,13,,,,,,,,95,100
West Boylston,3220000,41,67,60,64,65,63,66,75,71,52,38,50,52,764,861
West Bridgewater,3230000,112,93,114,87,106,100,94,115,117,100,97,91,81,"1,307","1,361"
West Springfield,3320000,276,273,285,273,297,301,212,253,267,212,154,129,132,"3,064","3,831"
Westborough,3210000,244,270,267,289,295,281,288,291,303,144,140,155,200,"3,167","3,753"
Westfield,3250000,298,336,357,316,355,342,318,276,287,158,194,150,156,"3,543","4,792"
Westford,3260000,271,291,314,343,313,384,388,367,385,280,284,217,280,"4,117","4,703"
Westhampton,3270000,8,12,12,11,19,17,21,,,,,,,100,100
Weston,3300000,118,129,136,118,135,149,143,145,169,158,126,89,63,"1,678","1,874"
Westport,3310000,104,101,109,100,109,123,133,107,122,57,46,37,54,"1,202","1,331"
Westwood,3350000,209,168,220,219,204,222,212,184,195,168,168,153,172,"2,494","2,914"
Weymouth,3360000,380,393,392,402,398,395,430,456,437,130,110,87,87,"4,097","5,523"
Whately,3370000,17,19,16,13,15,11,14,,,,,,,105,105
Whitman-Hanson,7800000,112,223,217,229,229,241,230,256,300,18,74,98,154,"2,381","3,513"
Whittier Regional Vocational Technical,8850000,,,,,,,,,,2,19,22,8,51,"1,236"
Williamsburg,3400000,7,11,21,9,16,20,20,,,,,,,104,113
Wilmington,3420000,200,219,214,248,213,249,181,248,233,87,140,129,163,"2,524","2,816"
Winchendon,3430000,88,77,94,103,104,85,74,80,74,37,29,42,20,907,"1,131"
Winchester,3440000,34,350,326,323,353,357,351,381,344,187,204,182,180,"3,572","4,441"
Winthrop,3460000,124,156,139,119,143,124,154,158,147,110,24,52,77,"1,527","1,825"
Woburn,3470000,291,339,326,306,314,313,342,288,331,191,187,171,136,"3,535","4,177"
Worcester,3480000,"1,200","1,411","1,351","1,316","1,262","1,244","1,733","1,514","1,424",796,958,793,887,"15,889","20,249"
Worthington,3490000,9,3,6,12,5,7,5,,,,,,,47,58
Wrentham,3500000,116,102,102,136,122,121,136,,,,,,,835,835
State Totals,0,"51,205","60,755","62,028","62,557","63,656","63,887","61,584","61,839","59,841","37,903","35,100","31,151","33,552","6,85,050","8,83,923"
