District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Medfield,01750000,       201,    96.5,     1.5,     0.0,     0.0,     2.0,     0.0
Medford,01760000,       302,    92.4,     2.6,     0.0,     0.0,     5.0,     0.0
Medway,01770000,       158,    96.8,     1.9,     0.0,     0.0,     1.3,     0.0
Melrose,01780000,       241,    96.7,     1.7,     0.0,     0.4,     1.2,     0.0
Mendon-Upton,07100000,       163,    93.9,     2.5,     0.0,     0.6,     3.1,     0.0
Methuen,01810000,       489,    91.0,     3.3,     0.8,     0.0,     4.9,     0.0
Middleborough,01820000,       194,    94.8,     3.1,     0.0,     0.0,     2.1,     0.0
Milford,01850000,       309,    81.9,     6.8,     0.0,     0.3,    11.0,     0.0
Millbury,01860000,       127,    89.0,     2.4,     2.4,     0.0,     6.3,     0.0
Millis,01870000,        92,    95.7,     2.2,     0.0,     1.1,     1.1,     0.0
Milton,01890000,       284,    94.4,     4.6,     0.0,     0.4,     0.7,     0.0
Minuteman Regional Vocational Technical,08300000,       147,    90.5,     4.1,     0.0,     0.7,     4.8,     0.0
Mohawk Trail,07170000,        60,    85.0,     3.3,     0.0,     0.0,    11.7,     0.0
Monomoy Regional School District,07120000,       117,    95.7,     2.6,     0.0,     0.9,     0.9,     0.0
Monson,01910000,        62,    90.3,     4.8,     1.6,     0.0,     3.2,     0.0
Montachusett Regional Vocational Technical,08320000,       342,    97.4,     2.3,     0.0,     0.0,     0.3,     0.0
Mount Greylock,07150000,        89,    94.4,     4.5,     0.0,     0.0,     1.1,     0.0
Mystic Valley Regional Charter (District),04700000,        86,    98.8,     0.0,     0.0,     0.0,     1.2,     0.0
Nantucket,01970000,       116,    91.4,     5.2,     1.7,     0.0,     1.7,     0.0
Narragansett,07200000,        60,    86.7,     3.3,     0.0,     0.0,    10.0,     0.0
Nashoba,07250000,       239,    96.2,     2.9,     0.0,     0.0,     0.8,     0.0
