District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Wakefield,03050000,"     3,357",     2.7,     1.6,"     3,310",    98.8
Wales,03060000,       131,    13.0,    11.5,       124,    91.9
Walpole,03070000,"     3,742",     4.5,     2.7,"     3,659",    97.9
Waltham,03080000,"     5,819",    11.6,     6.5,"     5,500",    94.2
Ware,03090000,"     1,210",    12.4,     7.7,"     1,142",    92.8
Wareham,03100000,"     2,108",    12.0,     7.7,"     1,993",    93.2
Watertown,03140000,"     2,613",    10.4,     6.3,"     2,524",    93.1
Wayland,03150000,"     2,735",     3.1,     1.6,"     2,701",    99.1
Webster,03160000,"     1,790",    14.9,     7.5,"     1,689",    90.2
Wellesley,03170000,"     4,520",     4.3,     2.5,"     4,430",    97.9
Wellfleet,03180000,       106,     8.5,     2.8,       103,    94.2
West Boylston,03220000,       926,     7.0,     3.8,       895,    96.2
West Bridgewater,03230000,"     1,425",     5.1,     3.2,"     1,380",    98.0
West Springfield,03320000,"     4,082",     9.6,     4.8,"     3,929",    94.3
Westborough,03210000,"     4,002",    10.0,     6.0,"     3,826",    94.2
Westfield,03250000,"     5,089",     7.6,     3.9,"     4,945",    95.6
Westford,03260000,"     4,854",     4.8,     3.1,"     4,728",    97.8
Westhampton,03270000,       111,     6.3,     6.3,       104,   100.0
Weston,03300000,"     1,939",     3.9,     2.0,"     1,910",    98.1
Westport,03310000,"     1,409",     5.7,     3.1,"     1,368",    97.1
Westwood,03350000,"     2,999",     3.1,     1.6,"     2,955",    98.5
Weymouth,03360000,"     5,843",    11.0,     6.3,"     5,632",    92.6
Whately,03370000,       119,     3.4,     0.8,       118,    97.5
Whitman-Hanson,07800000,"     3,696",     7.2,     4.8,"     3,586",    95.8
Whittier Regional Vocational Technical,08850000,"     1,257",     2.7,     0.8,"     1,250",    97.8
Williamsburg,03400000,       122,     6.6,     3.3,       119,    95.8
Wilmington,03420000,"     2,925",     5.1,     2.1,"     2,871",    96.8
Winchendon,03430000,"     1,259",    12.2,     6.4,"     1,189",    93.3
Winchester,03440000,"     4,572",     4.4,     2.0,"     4,500",    97.6
Winthrop,03460000,"     1,903",     6.5,     2.8,"     1,866",    95.3
Woburn,03470000,"     4,483",    10.1,     5.2,"     4,286",    94.6
Worcester,03480000,"    25,111",    10.1,     5.7,"    24,076",    94.5
Worthington,03490000,        64,     7.8,     1.6,        63,    93.7
Wrentham,03500000,       906,     7.8,     6.7,       867,    96.3
